task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
abc395_e,2025-03-01T00:00:00,2025-03-01T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,842,32768,33610,0.0824252,,0.0824252,138.3412335969624,
abc395_e,2025-03-01T00:00:00,2025-03-01T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,925,1493,2418,0.02517,,0.02517,17.94416542199906,
arc193_b,2025-02-23T00:00:00,2025-02-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,751,32768,33519,0.0823706,,0.0823706,190.717731497949,
arc193_b,2025-02-23T00:00:00,2025-02-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,807,1605,2412,0.026496,,0.026496,2430.740678650036,
arc193_a,2025-02-23T00:00:00,2025-02-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,960,32768,33728,0.082496,,0.082496,203.88942677801242,
arc193_a,2025-02-23T00:00:00,2025-02-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1081,1896,2977,0.031683,,0.031683,22.913590490992647,
arc193_d,2025-02-23T00:00:00,2025-02-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,853,32768,33621,0.08243180000000001,,0.08243180000000001,174.2311086219852,
arc193_d,2025-02-23T00:00:00,2025-02-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,926,1249,2175,0.021513,,0.021513,21.634218091028742,
abc394_c,2025-02-22T00:00:00,2025-02-22T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,524,32768,33292,0.08223440000000001,,0.08223440000000001,123.39394874701975,
abc394_c,2025-02-22T00:00:00,2025-02-22T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,577,1211,1788,0.019896,,0.019896,23.395210310991388,
