task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,368,3999,4367,,,,103.84225719500682,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,1,387,783,1170,,,,20.890570616989862,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,1,383,273,656,,,,3.317149264999898,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,373,959,1332,0.01005625,,0.01005625,14.35329996800283,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,408,4096,4504,0.062664,,0.062664,61.15510323800845,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,357,4096,4453,,,,72.2357325819903,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,357,385,742,,,,28.54543251299765,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,415,1541,1956,,,,17.989797897986136,
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,732,3790,4522,0.038815,,0.038815,75.20675142097753,
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,812,4096,4908,0.063876,,0.063876,63.02373846201226,
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,716,4096,4812,,,,97.05000682800892,
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,711,4096,4807,,,,109.24989703000756,
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,834,4096,4930,,,,81.70535258200835,
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,559,4096,4655,0.04165875,,0.04165875,90.0506341420114,
